placeid,contentsid,contentscd,title,regioncd_value,regioncd_label,region1cd_value,region1cd_label,region2cd_value,region2cd_label,tag
47,CNTS_000000000021122,c4,컴플리트커피,1,북부,region1,제주시,11,제주시내,"카페,오름라떼,커피,케이크,베이글,샌드위치,음식,아메리카노,에스프레소,카페라떼,에이드,쿠키,초코파운드,플랫화이트,카푸치노,핸드드립커피,바닐라라떼,헤이즐넛라떼,돌체라떼,카페모카,카라멜마끼아또,아포가토,라떼,아인슈페너,녹차라떼,프라페,민트초코라떼,레몬에이드,자몽에이드,패션후르츠에이드,요거트스무디,딸기요거트스무디,블루베리요거트스무디,플레인요거트스무디,차,자몽차,레몬차,녹차,얼그레이,페퍼민트,카모마일,얼그레이밀크티,콜드브루,콜드브루라떼,치즈케이크,티라미수,사과파이,현금결제,카드결제,아주 어려움"
48,CNTS_300000000015619,c4,본보이즈,1,북부,region1,제주시,12,애월,"애월, 한라봉스무디, 천혜향스무디, 샌드위치, 불고기샌드위치, 와인,튀르키예 에그멕 폴드포크 샌드위치"
49,CONT_000000000501160,c4,겐짱야,1,북부,region1,제주시,11,제주시내,"우동,김밥,한식,음식,돈까스,새우튀김,현금결제,카드결제,화장실,음료대,착한가격 업소"
50,CNTS_200000000009533,c6,‘조물조물’ 만드는 즐거움 <DIY 체험 여행지>,1,북부,region1,제주시,11,제주시내,"부모,커플,혼자,친구,아이,체험관광,체험, DIY"
51,CNTS_000000000001162,c4,육값하네식육가든,4,남부,region2,서귀포시,25,남원,"흑돼지,숯불구이,목살,음식,오겹살,흑돼지구이,돼지구이,현금결제,카드결제,화장실,아주 어려움"
52,CNTS_200000000009433,c6,"술꾼 도시 처녀들 3인방의 제주 원도심 여행기<2화, 촘말로 좋은 바당>",4,남부,region2,서귀포시,25,남원,"술꾼 도시 처녀들, 리우, 정뚱, 꾸미, 원도심 여행기, 목관아, 바당, 바다, 원도심, 삼도동, 탑동광장, 전망, 탑동해안로, 제주목관아, 제주돌담, 용담동, 용두암, 해녀, 해산물, 유네스코, 인류문화예산, 낯술, 소라껍데기, 올레17코스, 비스트로, 일출, 일몰, 로컬푸드"
53,CNTS_200000000015058,c2,리울,2,동부,region1,제주시,16,구좌,"구좌읍, 종달리, 소품샵, 그림, 에코백, 문구류"
54,CNTS_200000000008014,c6,요리보고 조리보고 ‘상명리∙명월리편’ <제주의 옛 모습을 그대로 품은 마을>,2,동부,region1,제주시,16,구좌,"혼자,맑음,문화유적지,휴식/힐링"
55,CNTS_200000000007994,c4,사이카레,1,북부,region1,제주시,12,애월,"카레,소떡소떡,가정식,애월해안도로,음식,가정식카레,파스타,짬뽕,키마카레,라면,현금결제,카드결제,공용주차장,무료 WIFI,화장실"
56,CNTS_200000000009312,c4,타임스탬프,1,북부,region1,제주시,15,조천,"사진, 카페, 청년, 스튜디오, 흑백사진관, 스튜디오카페"
57,CNTS_000000000021992,c3,패밀리아펜션,2,동부,region2,서귀포시,26,표선,"휴식,숙소,펜션,휴양펜션,독채,바비큐,공공와이파이존"
58,CNTS_000000000019096,c3,하늘타리펜션,1,북부,region1,제주시,11,제주시내,"휴식 ,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움"
59,CNTS_000000000021188,c4,재게재게옵서 카페,3,서부,region3,섬 속의 섬,34,비양도,"카페,커피,더치커피,라면,음식,아메리카노,에이드,카페라떼,핸드드립커피,핸드드립과테말라안티구아,핸드드립에티오피아예가체프,핸드드립콜롬비아슈프리모,핸드드립브라질산토스,스무디,자몽에이드,석류에이드,차,자몽차,석류차,유자차,레몬차,허브티,루이보스,캐모마일,홍차,쌍화차,핫초코,현금결제,카드결제,화장실"
60,CNTS_200000000014747,c4,구씨커피로스터스,2,동부,region1,제주시,16,구좌,"구좌읍, 세화, 핸드드립커피, 스페셜티, 라떼,핸드드립커피, 구라떼"
61,CNTS_200000000014970,c2,책방작은숲,1,북부,region1,제주시,11,제주시내,"제주시내, 삼도동, 서점, 책방, 와인"
62,CONT_000000000500826,c3,달콤한소금만들기,4,남부,region2,서귀포시,23,안덕,"민박,휴양펜션,펜션,공공와이파이존,해수욕장,바비큐,온돌방,가족,해변,농어촌민박,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움"
63,CONT_000000000501139,c3,호텔제이엠,1,북부,region1,제주시,11,제주시내,"휴식/힐링,호텔,숙소,주차장,공공와이파이존,무장애여행,편의시설,무장애관광,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,단차없음,장애인 화장실,장애인 전용 주차장,어려움,3성급"
64,CNTS_000000000018873,c4,돈채,2,동부,region3,섬 속의 섬,31,우도,"흑오겹살,흑생갈비,등갈비,갈비탕,김치찌개,공용주차장"
65,CNTS_300000000015726,c4,제원칼집,1,북부,region1,제주시,11,제주시내,"제주시내, 연동, 흑돼지, 오겹살, 볶음밥,칼집삼겹살"
66,CNTS_000000000018269,c3,갯바위펜션,4,남부,region2,서귀포시,21,서귀포시내,"펜션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움"
67,CNTS_200000000008896,c6,로컬투어 마을참견 3 <인재 많은 마을에 이야기도 많아라 김범진 삼촌의 거로 마을>,4,남부,region2,서귀포시,21,서귀포시내,"문화유적지,친구,중/장년,미술/박물관"
68,CNTS_000000000022454,c4,잔디가미,2,동부,region3,섬 속의 섬,31,우도,"빵집,아이스크림,땅콩빵,초콜릿,음식,빵,우도,아메리카노"
69,CNTS_000000000019577,c3,잇츠힐펜션,1,북부,region1,제주시,12,애월,"휴식,숙소,펜션,휴양펜션,일몰명소,해안도로,올레길,바비큐,가족,단체여행객,스파,수영장,공공와이파이존,해수욕장,수상레저,풀빌라,온돌방,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움"
71,CNTS_200000000007393,c6,"한중 아방가르드 대표작가전 <제주, 아시아를 그리다>",1,북부,region1,제주시,11,제주시내,"한중, 아방가르드, 아시아를 그리다, 저우춘야, 왕칭송, 우밍중, 펑정지에, 쥐안치, 김동유, 홍경택, 김근중, 이길우, 임택, 양태근, 고광표"
72,CNTS_200000000011474,c6,[서귀포 건축문화기행] 3코스. 한 잔의 운치를 걸어보자,1,북부,region1,제주시,11,제주시내,휴식/힐링
73,CNTS_200000000013947,c6,"출장 온 이대리, 김사원을 위한 공항 10분 거리 스팟 추천 <제주 출장도 식후경>",1,북부,region1,제주시,11,제주시내,"제주청년크리에이터, 여행작가, 도민작가, 도민추천여행, 도보여행,프로출장러, 제주출장추천지, 원도심여행"
74,CNTS_200000000007261,c4,비자블라썸,2,동부,region1,제주시,16,구좌,"커피,디저트,파스타,공용주차장,현금결제,카드결제,화장실,무료 WIFI,카드결제,현금결제,,"
75,CNTS_200000000009122,c4,봉골레밥상,1,북부,region3,섬 속의 섬,32,추자도,"추자음식점,추자식당,추자도식당,추자순대국밥,추자몸국,추자도,음식,식당,소머리국밥,순대국밥,몸국,김치찌개,머리고기,순대,국밥,화장실,무료 WIFI,현금결제,카드결제"
76,CNTS_200000000011479,c6,[서귀포 건축문화기행] 8코스. 풍광이 된 제주 말의 놀이터,1,북부,region3,섬 속의 섬,32,추자도,휴식/힐링
77,CNTS_000000000021117,c4,백번가든,1,북부,region1,제주시,12,애월,"흑돼지,통오징어,낙치김치찜,음식,김치찜,갈비,오겹살,소곱창전골,흑돼지오겹살,항정살,가브리살,생갈비,양념갈비,우삼겹,근고기,전복,문어,김치전골,전복갈비탕,전복왕갈비탕,냉면,비빔냉면,물냉면,누룽지탕,된장찌개,공용주차장,현금결제,카드결제,아주 어려움"
78,CNTS_000000000001278,c4,이가전복,1,북부,region1,제주시,11,제주시내,"전복구이,성게미역국,옥돔구이,전복돌솥밥,음식,전복,전복죽,전복뚝배기,전복버터구이,공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움"
79,CNTS_000000000021494,c4,이노우에스시,1,북부,region1,제주시,11,제주시내,"일식,스시,초밥,오마카세,음식,회,장어덮밥,샐러드,사시미,튀김,크림새우,소바,술,사케,히레사케,공용주차장,화장실,아주 어려움"
80,CNTS_000000000022194,c4,대굴대굴구이,1,북부,region1,제주시,11,제주시내,"굴구이,굴,굴볶음밥,하얀굴짬뽕,현금결제,카드결제"
81,CONT_000000000500802,c3,꿈꾸는 노마드,4,남부,region2,서귀포시,21,서귀포시내,"펜션,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터,승강기,아주 어려움"
82,CNTS_000000000022550,c3,엘쯔타운 독채펜션,1,북부,region1,제주시,12,애월,"펜션,숙소,휴양펜션,공공와이파이존,독채,단체여행객,문화관광"
83,CNTS_300000000015957,c4,예예예,1,북부,region1,제주시,11,제주시내,"제주시내, 이도동, 돈까스, 파스타, 리조또, 칠리새우,돈카츠, 중화누들, 함박에그인헬"
84,CONT_000000000501052,c3,제주신신휴양펜션,4,남부,region2,서귀포시,23,안덕,"휴식,휴양펜션,펜션,수영장,해수욕장,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움"
85,CNTS_000000000022489,c3,엠버하우스,1,북부,region1,제주시,12,애월,"펜션,숙소,자연경관,주차장,테마공원,공공와이파이존,조식,해수욕장,물품보관서비스,공용주차장,카드결제,화장실,무료 WIFI"
86,CNTS_000000000001206,c4,오솔길,1,북부,region1,제주시,11,제주시내,"정식,고등어조림,몸국,갈치국,성게국,자리물회,음식,갈치조림,갈치구이,갈치회,고등어회,우럭매운탕,전복죽,착한가격업소"
87,CNTS_000000000020876,c3,곰씨비씨게스트하우스,4,남부,region2,서귀포시,23,안덕,"휴식,숙소,게스트하우스,힐링쉼터,마을산책,카페,조식,공용주차장,현금결제,화장실,무료 WIFI,편의점,음료대,유도 및 안내시설,경보 및 피난시설"
88,CNTS_200000000012254,c6,"으라차차, 어쨌든 원도심 <2021 광해, 원도심을 만나다>",4,남부,region2,서귀포시,23,안덕,문화유적지
89,CNTS_300000000015679,c4,리썸커피,1,북부,region1,제주시,12,애월,"애월, 쿠키, 구겔호프, 크림라떼, 르뱅쿠키, 바나나푸딩, 크로플,구겔호프, 크림라떼"
90,CNTS_200000000010936,c6,감귤향기 가득한 벽화마을 <신천리>,1,북부,region1,제주시,12,애월,"부모,커플,혼자,친구,아이,맑음,경관/포토,휴식/힐링,사계절,청년,중/장년,노년,휴식/치유"
91,CNTS_200000000015102,c2,만달,4,남부,region2,서귀포시,24,중문,"서귀포, 중문, 감귤모자, 문구류, 소품, 오메기떡, 전통주"
92,CNTS_000000000019487,c3,비스비제주 앤 팜빌리지,4,남부,region2,서귀포시,21,서귀포시내,"휴식,숙소,펜션,휴양펜션,스파,독채,바비큐,수영장,조식 포함,공공와이파이존,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움"
93,CNTS_000000000022599,c4,차롱 해모루,4,남부,region2,서귀포시,21,서귀포시내,"뷔페,브런치,카페,커피,공용주차장,화장실,무료 WIFI"
94,CNTS_000000000001199,c4,금보,1,북부,region1,제주시,11,제주시내,"갈치조림,문어숙회,갈치회,우럭조림,공용주차장,현금결제,카드결제,화장실,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움"
95,CONT_000000000501112,c3,하얀언덕,2,동부,region2,서귀포시,26,표선,"휴식,펜션,휴양펜션,자연경관,주차장,공공와이파이존,게스트하우스,휴양콘도,바비큐,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움"
96,CNTS_200000000009086,c3,황재여관,1,북부,region3,섬 속의 섬,32,추자도,"추자항,추자숙소,추자도,화장실,무료 WIFI,편의점,카드결제,현금결제,아주 어려움,없음,동반불가능,없음,전체금연,인터넷,없음,운행안함"
97,CNTS_000000000022818,c3,아토하우스,4,남부,region2,서귀포시,25,남원,"민박,숙소,단체여행객,바비큐,온돌방,수영장,해수욕장,독채,공공와이파이존,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,경보 및 피난시설,어려움"
98,CNTS_000000000021863,c3,메종드판포,3,서부,region1,제주시,14,한경,"숙소,펜션,휴양펜션,독채,힐링,마을관광,힐링쉼터,바비큐,가족"
99,CONT_000000000500998,c3,우리두리게스트하우스,2,동부,region2,서귀포시,26,표선,"게스트하우스,숙소,공공와이파이존,해수욕장,독채,공용주차장,현금결제,카드결제,무료 WIFI,유도 및 안내시설,경보 및 피난시설,아주 어려움"
100,CONT_000000000500969,c3,약천골민박,4,남부,region2,서귀포시,21,서귀포시내,"민박,숙소,농어촌민박,일반숙박,주차장,산책로,올레길,자연경관,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,유도 및 안내시설,경보 및 피난시설,아주 어려움"
101,CNTS_000000000021049,c4,솔향바다가든,1,북부,region1,제주시,12,애월,"흑돼지,김치찌개,흑오겹살,음식,흑돼지구이,오겹살,돼지구이,돼지김치찌개,삼겹살,목살,흑돼지오겹살,돼지막창,전복해물뚝배기,뚝배기,해물뚝배기,흑돼지김치찌개,전복죽,미역국,냉면,물냉면,비빔냉면,공용주차장,현금결제,카드결제,아주 어려움"
102,CNTS_200000000009094,c4,올레실내포장마차,1,북부,region3,섬 속의 섬,32,추자도,"추자포장마차,추자도술집,추자도음식점,추자도,음식,고등어구이,잔치국수,정식,굴비정식,매운탕,식당,생선구이정식,삼치구이,갈치구이정식,우럭매운탕,조기매운탕,갈치조림,김치찌개,물회,소라물회,한치물회,비빔밥,메밀막국수,냉면,물냉면,비빔냉면,해물전,홍합탕,문어숙회,숙회,한치무침,소라무침,오뎅탕,제육볶음,내장탕,소머리국밥,도가니탕,회,지리탕,무료 WIFI,화장실,공용주차장,현금결제,카드결제,쉬움,가능"
103,CNTS_200000000015086,c2,미유,3,서부,region1,제주시,13,한림,"한림, 옹포리, 소품샵, 핸드메이드소품, 키링, 우산, 지갑"
104,CNTS_000000000022220,c4,아꼬떼카페,1,북부,region1,제주시,15,조천,"카페,커피,음료,음식,아메리카노,녹차라떼,바닐라라떼,카페라떼,딸기라떼,헤이즐넛라떼,카푸치노,카페모카"
105,CNTS_200000000015029,c2,내가좋아해,1,북부,region1,제주시,15,조천,"조천, 신촌리, 소품샵, 튤립"
106,CNTS_300000000015999,c2,디어브리즈,2,동부,region1,제주시,16,구좌,"구좌읍, 월정리, 소품샵, 의류, 문구류, 잡화"
107,CNTS_000000000021057,c2,만춘서점,1,북부,region1,제주시,15,조천,"쇼핑,서점,기념품"
108,CNTS_200000000014986,c2,뱅오흐디네흐,4,남부,region2,서귀포시,21,서귀포시내,"서귀포시내, 와인샵, 와인"
109,CNTS_300000000015989,c2,호끄만거,1,북부,region1,제주시,11,제주시내,"제주시내, 동문시장, 소품샵, 엽서, 디퓨저, 핸드크림, 액세서리"
110,CNTS_000000000020812,c4,밀리우,2,동부,region2,서귀포시,26,표선,"해산물,제주 제철 식자재,한우 안심 스테이크,애프터눈 티,호텔 레스토랑,음식,무장애관광,킹크랩,랍스터,스테이크,안심스테이크,양갈비스테이크,와인,공용주차장,현금결제,카드결제,화장실,무료 WIFI,음료대,유도 및 안내시설,경보 및 피난시설,단차없음,장애인 화장실,장애인 전용 주차장,어려움"
111,CNTS_000000000022580,c4,에이팩토리 커피앤북스,1,북부,region1,제주시,11,제주시내,"빵,커피,음료,음식,카페라떼,아메리카노,아이스티,수제청,수제청음료,에이드,요거트,디저트,라떼,차,카모마일,녹차,얼그레이"
112,CNTS_300000000015643,c4,페이지2,2,동부,region1,제주시,16,구좌,"구좌읍, 월정리, 코코넛라떼, 홍차, 감귤차, 증편 모나카, 송편,우리두리라떼"
113,CNTS_200000000009120,c4,오누이밥상,1,북부,region3,섬 속의 섬,32,추자도,"추자식당,추자도음식점,추자음식점,추자정식,추자굴비정식,추자정식백반,추자도,음식,오삼불고기,정식,백반,굴비정식,식당,비빔밥,뚝배기불고기,김치찌개,된장찌개,삼겹살,옻닭백숙,백숙,동태탕,닭볶음탕,생선구이,생선조림,매운탕,아구탕,아구찜,불고기전골,무료 WIFI,화장실,현금결제,카드결제"
114,CNTS_200000000014110,c4,카고크루즈,1,북부,region1,제주시,11,제주시내,"식당,양식,럭셔리트래블인제주,버섯파스타,콤부차,커피,음식,현금결제,카드결제,화장실,무료 WIFI,카드결제,현금결제"
115,CNTS_300000000015764,c4,알다방,3,서부,region1,제주시,14,한경,"한경면, 저지리, 카페, 믹스커피, 에이드, 맥주, 아귀포,알스무디, 핫초코, 백향과차"
116,CONT_000000000501428,c4,현기네식당,1,북부,region1,제주시,11,제주시내,"된장찌개,해장국,내장탕,한식,음식,김치찌개,순두부찌개,현금결제,카드결제,화장실,음료대,착한가격 업소"
117,CNTS_200000000007332,c4,감저카페,3,서부,region2,서귀포시,22,대정,"커피,샌드위치,디저트,사진창고,갤러리 ,무료 WIFI,카드결제,현금결제,화장실,흡연구역,수유실"
118,CNTS_000000000018098,c3,씨제이 관광호텔,1,북부,region1,제주시,11,제주시내,"호텔,숙소,관광호텔,공공와이파이존,엘리베이터,무장애관광,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,엘리베이터,단차없음,장애인 화장실,승강기,장애인 전용 주차장,장애인 전용 객실,어려움"
